批次,游戏ID,付费分层,首日进度,最高进度,最终进度,记录天数,有效新增关卡,平均每日新增,原表流失关卡,起始原始关卡,最高原始关卡,最终原始关卡,最长连续停留天数,最长停留原始关卡,起始原始关卡标签,起始原始关卡序号,最高原始关卡标签,最高原始关卡序号,最终原始关卡标签,最终原始关卡序号,最长停留原始关卡标签,最长停留原始关卡序号,是否流失,首日到最终进度差
1.09-1.11,108954749,100~300,15.0,36.0,36.0,10,34.0,4.25,29.0,115.0,306.0,306.0,3,215.0,1-15,15.0,3-06,36.0,3-06,36.0,2-15,30.0,True,21.0
1.09-1.11,108954821,1~7,2.0,17.0,17.0,5,17.0,4.25,,102.0,202.0,202.0,1,102.0,1-02,2.0,2-02,17.0,2-02,17.0,1-02,2.0,False,15.0
1.09-1.11,108954828,7~50,12.0,45.0,45.0,14,45.0,3.4615384615384617,,112.0,315.0,315.0,2,210.0,1-12,12.0,3-15,45.0,3-15,45.0,2-10,25.0,False,33.0
1.09-1.11,108954972,100~300,19.0,19.0,19.0,2,19.0,19.0,19.0,204.0,204.0,204.0,1,204.0,2-04,19.0,2-04,19.0,2-04,19.0,2-04,19.0,True,0.0
1.09-1.11,108955009,7~50,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106.0,1-06,6.0,1-06,6.0,1-06,6.0,1-06,6.0,True,0.0
1.09-1.11,108955041,1~7,11.0,15.0,15.0,4,15.0,3.75,15.0,111.0,115.0,115.0,2,115.0,1-11,11.0,1-15,15.0,1-15,15.0,1-15,15.0,True,4.0
1.09-1.11,108955237,1~7,14.0,15.0,15.0,3,15.0,5.0,15.0,114.0,115.0,115.0,2,115.0,1-14,14.0,1-15,15.0,1-15,15.0,1-15,15.0,True,1.0
1.09-1.11,108955648,1~7,6.0,35.0,35.0,24,35.0,1.4583333333333333,,106.0,305.0,305.0,6,204.0,1-06,6.0,3-05,35.0,3-05,35.0,2-04,19.0,False,29.0
1.09-1.11,108955849,1~7,5.0,18.0,18.0,4,18.0,4.5,18.0,105.0,203.0,203.0,2,113.0,1-05,5.0,2-03,18.0,2-03,18.0,1-13,13.0,True,13.0
1.09-1.11,108956552,1~7,6.0,125.0,125.0,13,125.0,9.615384615384615,,106.0,905.0,905.0,1,106.0,1-06,6.0,9-05,125.0,9-05,125.0,1-06,6.0,False,119.0
1.09-1.11,108956565,1~7,6.0,6.0,6.0,3,6.0,2.0,6.0,106.0,106.0,106.0,3,106.0,1-06,6.0,1-06,6.0,1-06,6.0,1-06,6.0,True,0.0
1.09-1.11,108956632,1~7,7.0,8.0,8.0,2,8.0,4.0,8.0,107.0,108.0,108.0,1,107.0,1-07,7.0,1-08,8.0,1-08,8.0,1-07,7.0,True,1.0
1.09-1.11,108956656,1~7,6.0,44.0,44.0,22,44.0,2.0,,106.0,314.0,314.0,5,309.0,1-06,6.0,3-14,44.0,3-14,44.0,3-09,39.0,False,38.0
1.09-1.11,108956667,1~7,1.0,21.0,21.0,4,21.0,5.25,21.0,101.0,206.0,206.0,2,204.0,1-01,1.0,2-06,21.0,2-06,21.0,2-04,19.0,True,20.0
1.09-1.11,108956953,1~7,7.0,8.0,8.0,2,8.0,4.0,8.0,107.0,108.0,108.0,1,107.0,1-07,7.0,1-08,8.0,1-08,8.0,1-07,7.0,True,1.0
1.09-1.11,108956956,100~300,13.0,50.0,50.0,8,50.0,6.25,,113.0,405.0,405.0,4,405.0,1-13,13.0,4-05,50.0,4-05,50.0,4-05,50.0,False,37.0
1.09-1.11,108957155,1~7,16.0,31.0,31.0,19,31.0,1.9375,,201.0,301.0,301.0,3,215.0,2-01,16.0,3-01,31.0,3-01,31.0,2-15,30.0,False,15.0
1.09-1.11,108957253,1~7,18.0,44.0,44.0,13,44.0,3.6666666666666665,,203.0,314.0,314.0,3,314.0,2-03,18.0,3-14,44.0,3-14,44.0,3-14,44.0,False,26.0
1.09-1.11,108957273,300~+∞,17.0,44.0,44.0,6,35.0,8.75,21.0,202.0,314.0,314.0,2,202.0,2-02,17.0,3-14,44.0,3-14,44.0,2-02,17.0,True,27.0
1.09-1.11,108957286,7~50,22.0,48.0,48.0,11,46.0,4.6,,207.0,403.0,403.0,2,314.0,2-07,22.0,4-03,48.0,4-03,48.0,3-14,44.0,False,26.0
1.09-1.11,108957297,100~300,15.0,80.0,80.0,22,80.0,4.0,,115.0,605.0,605.0,3,314.0,1-15,15.0,6-05,80.0,6-05,80.0,3-14,44.0,False,65.0
1.09-1.11,108957329,1~7,14.0,24.0,24.0,7,20.0,6.666666666666667,,114.0,209.0,209.0,1,114.0,1-14,14.0,2-09,24.0,2-09,24.0,1-14,14.0,False,10.0
1.09-1.11,108957364,1~7,6.0,13.0,13.0,4,13.0,3.25,13.0,106.0,113.0,113.0,2,113.0,1-06,6.0,1-13,13.0,1-13,13.0,1-13,13.0,True,7.0
1.09-1.11,108957369,1~7,12.0,41.0,41.0,21,37.0,2.0555555555555554,,112.0,311.0,311.0,4,304.0,1-12,12.0,3-11,41.0,3-11,41.0,3-04,34.0,False,29.0
1.09-1.11,108957403,1~7,10.0,10.0,10.0,1,10.0,10.0,10.0,110.0,110.0,110.0,1,110.0,1-10,10.0,1-10,10.0,1-10,10.0,1-10,10.0,True,0.0
1.09-1.11,108957443,7~50,12.0,18.0,18.0,7,17.0,3.4,15.0,112.0,203.0,203.0,1,112.0,1-12,12.0,2-03,18.0,2-03,18.0,1-12,12.0,True,6.0
1.09-1.11,108957448,1~7,6.0,10.0,10.0,3,6.0,6.0,6.0,106.0,110.0,110.0,1,106.0,1-06,6.0,1-10,10.0,1-10,10.0,1-06,6.0,True,4.0
1.09-1.11,108957502,1~7,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106.0,1-06,6.0,1-06,6.0,1-06,6.0,1-06,6.0,True,0.0
1.09-1.11,108957505,1~7,3.0,3.0,3.0,1,3.0,3.0,3.0,103.0,103.0,103.0,1,103.0,1-03,3.0,1-03,3.0,1-03,3.0,1-03,3.0,True,0.0
1.09-1.11,108957709,1~7,12.0,71.0,71.0,24,71.0,2.9583333333333335,,112.0,511.0,511.0,4,405.0,1-12,12.0,5-11,71.0,5-11,71.0,4-05,50.0,False,59.0
1.09-1.11,108957718,1~7,5.0,9.0,9.0,4,9.0,2.25,9.0,105.0,109.0,109.0,3,109.0,1-05,5.0,1-09,9.0,1-09,9.0,1-09,9.0,True,4.0
1.09-1.11,108957806,1~7,12.0,39.0,39.0,23,38.0,1.7272727272727273,,112.0,309.0,309.0,4,301.0,1-12,12.0,3-09,39.0,3-09,39.0,3-01,31.0,False,27.0
1.09-1.11,108957820,1~7,2.0,2.0,2.0,1,2.0,2.0,2.0,102.0,102.0,102.0,1,102.0,1-02,2.0,1-02,2.0,1-02,2.0,1-02,2.0,True,0.0
1.09-1.11,108957950,1~7,9.0,12.0,12.0,3,12.0,4.0,12.0,109.0,112.0,112.0,2,112.0,1-09,9.0,1-12,12.0,1-12,12.0,1-12,12.0,True,3.0
1.09-1.11,108958001,100~300,19.0,74.0,74.0,11,74.0,6.7272727272727275,,204.0,514.0,514.0,2,514.0,2-04,19.0,5-14,74.0,5-14,74.0,5-14,74.0,False,55.0
1.09-1.11,108958075,7~50,10.0,10.0,10.0,1,10.0,10.0,10.0,110.0,110.0,110.0,1,110.0,1-10,10.0,1-10,10.0,1-10,10.0,1-10,10.0,True,0.0
1.09-1.11,108958324,1~7,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106.0,1-06,6.0,1-06,6.0,1-06,6.0,1-06,6.0,True,0.0
1.09-1.11,108958514,1~7,14.0,14.0,14.0,5,14.0,2.8,14.0,114.0,114.0,114.0,5,114.0,1-14,14.0,1-14,14.0,1-14,14.0,1-14,14.0,True,0.0
1.09-1.11,108958629,100~300,14.0,34.0,34.0,14,34.0,2.4285714285714284,,114.0,304.0,304.0,5,304.0,1-14,14.0,3-04,34.0,3-04,34.0,3-04,34.0,False,20.0
1.09-1.11,108958893,1~7,11.0,69.0,69.0,24,69.0,2.875,,111.0,509.0,509.0,3,302.0,1-11,11.0,5-09,69.0,5-09,69.0,3-02,32.0,False,58.0
1.09-1.11,108958958,1~7,7.0,10.0,10.0,8,10.0,1.4285714285714286,,107.0,110.0,110.0,5,110.0,1-07,7.0,1-10,10.0,1-10,10.0,1-10,10.0,False,3.0
1.09-1.11,108958966,1~7,19.0,19.0,19.0,2,19.0,9.5,19.0,204.0,204.0,204.0,2,204.0,2-04,19.0,2-04,19.0,2-04,19.0,2-04,19.0,True,0.0
1.09-1.11,108958967,1~7,14.0,61.0,61.0,22,57.0,2.85,,114.0,501.0,501.0,7,210.0,1-14,14.0,5-01,61.0,5-01,61.0,2-10,25.0,False,47.0
1.09-1.11,108959173,7~50,4.0,24.0,24.0,6,24.0,6.0,,104.0,209.0,209.0,2,209.0,1-04,4.0,2-09,24.0,2-09,24.0,2-09,24.0,False,20.0
1.09-1.11,108959194,1~7,13.0,26.0,26.0,12,26.0,2.1666666666666665,,113.0,211.0,211.0,5,210.0,1-13,13.0,2-11,26.0,2-11,26.0,2-10,25.0,False,13.0
1.09-1.11,108959376,1~7,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106.0,1-06,6.0,1-06,6.0,1-06,6.0,1-06,6.0,True,0.0
1.09-1.11,108959381,1~7,5.0,5.0,5.0,1,5.0,5.0,5.0,105.0,105.0,105.0,1,105.0,1-05,5.0,1-05,5.0,1-05,5.0,1-05,5.0,True,0.0
1.09-1.11,108959409,7~50,19.0,19.0,19.0,2,19.0,9.5,19.0,204.0,204.0,204.0,2,204.0,2-04,19.0,2-04,19.0,2-04,19.0,2-04,19.0,True,0.0
1.09-1.11,108959490,1~7,6.0,10.0,10.0,4,10.0,2.5,10.0,106.0,110.0,110.0,2,110.0,1-06,6.0,1-10,10.0,1-10,10.0,1-10,10.0,True,4.0
1.09-1.11,108959498,7~50,13.0,13.0,13.0,1,13.0,13.0,13.0,113.0,113.0,113.0,1,113.0,1-13,13.0,1-13,13.0,1-13,13.0,1-13,13.0,True,0.0
1.09-1.11,108959533,7~50,6.0,8.0,8.0,3,8.0,2.6666666666666665,8.0,106.0,108.0,108.0,2,108.0,1-06,6.0,1-08,8.0,1-08,8.0,1-08,8.0,True,2.0
1.09-1.11,108959567,1~7,4.0,4.0,4.0,1,4.0,4.0,4.0,104.0,104.0,104.0,1,104.0,1-04,4.0,1-04,4.0,1-04,4.0,1-04,4.0,True,0.0
1.09-1.11,108959756,1~7,13.0,15.0,15.0,6,13.0,4.333333333333333,,113.0,115.0,115.0,2,113.0,1-13,13.0,1-15,15.0,1-15,15.0,1-13,13.0,False,2.0
1.09-1.11,108959864,1~7,9.0,10.0,10.0,2,9.0,9.0,10.0,109.0,110.0,110.0,1,109.0,1-09,9.0,1-10,10.0,1-10,10.0,1-09,9.0,True,1.0
1.09-1.11,108959879,1~7,7.0,11.0,11.0,4,11.0,5.5,7.0,107.0,111.0,111.0,1,107.0,1-07,7.0,1-11,11.0,1-11,11.0,1-07,7.0,True,4.0
1.09-1.11,108959945,1~7,15.0,44.0,44.0,12,44.0,3.6666666666666665,,115.0,314.0,314.0,4,314.0,1-15,15.0,3-14,44.0,3-14,44.0,3-14,44.0,False,29.0
1.09-1.11,108960121,1~7,6.0,19.0,19.0,4,19.0,4.75,19.0,106.0,204.0,204.0,3,204.0,1-06,6.0,2-04,19.0,2-04,19.0,2-04,19.0,True,13.0
1.09-1.11,108960244,1~7,7.0,70.0,70.0,24,70.0,2.9166666666666665,,107.0,510.0,510.0,5,504.0,1-07,7.0,5-10,70.0,5-10,70.0,5-04,64.0,False,63.0
1.09-1.11,108960351,1~7,13.0,13.0,13.0,2,13.0,6.5,13.0,113.0,113.0,113.0,2,113.0,1-13,13.0,1-13,13.0,1-13,13.0,1-13,13.0,True,0.0
1.09-1.11,108960453,100~300,7.0,13.0,13.0,3,13.0,4.333333333333333,13.0,107.0,113.0,113.0,2,113.0,1-07,7.0,1-13,13.0,1-13,13.0,1-13,13.0,True,6.0
1.09-1.11,108960567,7~50,6.0,7.0,7.0,2,6.0,6.0,6.0,106.0,107.0,107.0,1,106.0,1-06,6.0,1-07,7.0,1-07,7.0,1-06,6.0,True,1.0
1.09-1.11,108960600,1~7,4.0,4.0,4.0,1,4.0,4.0,4.0,104.0,104.0,104.0,1,104.0,1-04,4.0,1-04,4.0,1-04,4.0,1-04,4.0,True,0.0
1.09-1.11,108960639,1~7,14.0,43.0,43.0,11,43.0,4.3,,114.0,313.0,313.0,3,313.0,1-14,14.0,3-13,43.0,3-13,43.0,3-13,43.0,False,29.0
1.09-1.11,108960794,7~50,6.0,6.0,6.0,1,6.0,6.0,6.0,106.0,106.0,106.0,1,106.0,1-06,6.0,1-06,6.0,1-06,6.0,1-06,6.0,True,0.0
1.09-1.11,108960802,1~7,8.0,45.0,45.0,24,45.0,1.875,,108.0,315.0,315.0,4,302.0,1-08,8.0,3-15,45.0,3-15,45.0,3-02,32.0,False,37.0
1.09-1.11,108961388,1~7,,25.0,25.0,9,6.0,1.0,,204.0,210.0,210.0,4,210.0,2-04,19.0,2-10,25.0,2-10,25.0,2-10,25.0,False,
1.09-1.11,108961404,1~7,5.0,9.0,9.0,2,9.0,4.5,9.0,105.0,109.0,109.0,1,105.0,1-05,5.0,1-09,9.0,1-09,9.0,1-05,5.0,True,4.0
1.09-1.11,108961638,1~7,2.0,2.0,2.0,1,2.0,2.0,2.0,102.0,102.0,102.0,1,102.0,1-02,2.0,1-02,2.0,1-02,2.0,1-02,2.0,True,0.0
1.09-1.11,108961653,1~7,,30.0,30.0,13,11.0,1.0,,204.0,215.0,215.0,4,214.0,2-04,19.0,2-15,30.0,2-15,30.0,2-14,29.0,False,
1.09-1.11,108961694,1~7,,8.0,8.0,1,0.0,,8.0,108.0,108.0,108.0,1,108.0,1-08,8.0,1-08,8.0,1-08,8.0,1-08,8.0,True,
1.09-1.11,108963331,1~7,9.0,30.0,30.0,11,30.0,3.0,,109.0,215.0,215.0,3,215.0,1-09,9.0,2-15,30.0,2-15,30.0,2-15,30.0,False,21.0
1.09-1.11,108966592,1~7,9.0,19.0,19.0,8,14.0,2.8,,109.0,204.0,204.0,3,204.0,1-09,9.0,2-04,19.0,2-04,19.0,2-04,19.0,False,10.0
1.09-1.11,108966742,1~7,12.0,94.0,94.0,24,94.0,3.9166666666666665,,112.0,704.0,704.0,2,514.0,1-12,12.0,7-04,94.0,7-04,94.0,5-14,74.0,False,82.0
1.09-1.11,108972689,7~50,19.0,80.0,80.0,24,80.0,3.3333333333333335,,204.0,605.0,605.0,4,511.0,2-04,19.0,6-05,80.0,6-05,80.0,5-11,71.0,False,61.0
1.09-1.11,108972901,1~7,7.0,19.0,19.0,7,19.0,2.7142857142857144,,107.0,204.0,204.0,2,112.0,1-07,7.0,2-04,19.0,2-04,19.0,1-12,12.0,False,12.0
1.09-1.11,108974291,7~50,13.0,22.0,22.0,8,22.0,3.142857142857143,,113.0,207.0,207.0,2,206.0,1-13,13.0,2-07,22.0,2-07,22.0,2-06,21.0,False,9.0
1.09-1.11,108978861,100~300,10.0,82.0,82.0,24,82.0,3.4166666666666665,,110.0,607.0,607.0,4,601.0,1-10,10.0,6-07,82.0,6-07,82.0,6-01,76.0,False,72.0
1.09-1.11,108984970,1~7,11.0,12.0,12.0,3,12.0,6.0,12.0,111.0,112.0,112.0,1,111.0,1-11,11.0,1-12,12.0,1-12,12.0,1-11,11.0,True,1.0
1.09-1.11,108986625,1~7,9.0,9.0,9.0,1,9.0,9.0,9.0,109.0,109.0,109.0,1,109.0,1-09,9.0,1-09,9.0,1-09,9.0,1-09,9.0,True,0.0
1.09-1.11,108988206,1~7,10.0,10.0,10.0,1,10.0,10.0,10.0,110.0,110.0,110.0,1,110.0,1-10,10.0,1-10,10.0,1-10,10.0,1-10,10.0,True,0.0
1.09-1.11,109035261,1~7,13.0,87.0,87.0,24,87.0,3.625,,113.0,612.0,612.0,5,604.0,1-13,13.0,6-12,87.0,6-12,87.0,6-04,79.0,False,74.0
1.09-1.11,109044250,1~7,12.0,12.0,12.0,1,12.0,12.0,12.0,112.0,112.0,112.0,1,112.0,1-12,12.0,1-12,12.0,1-12,12.0,1-12,12.0,True,0.0
